"station_removed","station_name","avg_extra_distance_km","max_extra_distance_km"
321823,"Jim Pattison Developments Ltd.",0.00689915947448447,0.195509286655933
376668,"BC Hydro - Surrey - Panorama Place",0.0255161373313488,0.187270359204798
84042,"Liquidity Wines",0.180341247957497,0.184724457428063
389740,"TransLink - Hamilton Transit Centre",0.0189806800744236,0.176077821796574
349401,"On the Run EV Fast Charge",0.00803888871605771,0.175803524826453
321822,"Jim Pattison Developments Ltd.",0.011565361885145,0.170573381976676
130016,"Altaire - UniverCity",0.0178070404500244,0.168346536437393
360302,"Strawberry Hill Shopping Centre - Tesla Supercharger",0.00498149647984689,0.154861798319251
330163,"AURATOWNBCS3231 VISITOR STALL 1",0.0313654023229316,0.144139148301194
249829,"SmartCentres Management Services Inc",0.00680112330744519,0.141060897778698
84996,"Surrey Memorial Hospital - Emergency Parking Lot",0.00410655258528087,0.140712082322521
208841,"City of Vancouver",0.0154522045484233,0.14061318255645
313597,"SWTCH Energy",0.0231722139472948,0.140125378336947
231887,"APM CT4K-GW1",0.00925167524160988,0.127416478639592
345889,"SWTCH Energy Inc.",0.0113023740857748,0.124202003070219
349418,"On the Run EV Fast Charge",0.00155639552384388,0.123338972139167
249945,"BC Hydro and Power Authority",0.0138627038687115,0.122584868837035
330505,"GT TOYOTA CT4020-1",0.0172975238371299,0.116964463519747
208845,"City of Vancouver",0.00818058852290323,0.107071627968666
325827,"SWTCH Energy Inc.",0.0107780084559946,0.0961489392974054
249361,"Jim Pattison Developments Ltd",0.000686400152111761,0.0948698098289151
224414,"Elim Village",0.013849197563932,0.0899527641857385
303359,"Swtch Energy",0.0138181191686038,0.0859965016762399
303340,"Swtch Energy",0.00497084786374134,0.0854799929649489
208844,"City of Vancouver",0.0102273139773501,0.0849958670478682
163115,"BC SUBURBAN NORTHGATE VLG",0.0069648972634941,0.0847518014639863
404545,"Scrap-It Society",0.016276742378873,0.0802202775148944
225032,"Famous Wok",0.00978447661077622,0.0775462085598574
374941,"INDIGO PARK CVA030-1",0.000286411824475345,0.0770282398034643
163270,"PITT MEADOWS PMEVCS-CH",0.0296678283900077,0.0752032021255654
199446,"655 Lougheed Heights",0.00767713744634101,0.0750416813973279
258597,"Swtch Energy",0.037929585162642,0.0720730103010901
347659,"BC Hydro - Surrey - Arts Centre",0.00558706283459423,0.071297563044518
232200,"PUBLIC L2 ACC PUBLIC 1",0.0187913999086551,0.0678237979706955
232530,"ST ANDREWS STATION 1",0.00781547595871809,0.0648904005800305
208842,"City of Vancouver",0.0193445539048344,0.0634888669904612
155558,"City of New Westminster - Queens Park",0.00404776544039307,0.0620987176865347
231912,"COB PUBLIC MCGILL STN 1",0.0136515002738727,0.0597451095098968
428719,"CITY OF SURREY CSIC - 2",0.0112791627620011,0.0596397965961696
262612,"1243813 BC Ltd. c/ o Alliance Real Estate Group Ltd - 500 W 12 th Ave",0.000860821025877264,0.0526241830185825
390541,"On the Run Convenience Store - Delta",0.00339728004894372,0.0470019839092365
83828,"Go North Surrey GM",0.00223097031840617,0.0468473827041344
210155,"Quadreal Property Group G.P. Inc",0.00455154168129158,0.0464352600616912
193872,"BELL CHAPEL STATION 1",0.00304352544297806,0.0460657528465836
91577,"SFU DISCOVERY",0.00813471077524383,0.0454590569726552
347514,"South Surrey Operations Centre",0.00227001809941954,0.0450754219047485
88203,"BC Hydro - Vancouver - Grandview Hwy - Superstore",0.00348217441175387,0.0442833380244647
249831,"Wesgroup Properties LP",0.0036850246148968,0.0434360605918082
222144,"Burnaby Hospital",0.00133395356940957,0.0428433346306592
83732,"British Columbia Institute of Technology - Centre for Applied Research and Innovation",0.00394134368723542,0.038945845009388
129988,"JJ Bean Big Bend",0.00429308037490723,0.0370347969151444
312785,"Royal Columbian Hospital",0.00467775329033021,0.031828749730721
171351,"HighGate Village",0.0044646601003366,0.0316989758019463
210506,"City of Richmond",0.00500447807959552,0.0306129325270522
197091,"NEWPORT MAIN NEWPORT1",0.00381943140156661,0.0305319042065403
347632,"HoneyBadger Charging Station",0.00231090237561971,0.029801488669229
249932,"Onni Property Management Services Ltd",0.00674715240586631,0.0283981896462901
332146,"DELF PLACE DELF",0.00342520280208303,0.0273220257317444
185313,"QuadReal - Broadway Tech Centre",0.000674683284339881,0.0247983474220746
